Filename,Date,Hour,Foraging,Total_Foraging_Events
Potomac 2019 05 31 POD2807 file01.CP3,6/2/2019,8,TRUE,15
Potomac 2019 05 31 POD2807 file01.CP4,6/2/2019,9,TRUE,13
Potomac 2019 05 31 POD2807 file01.CP5,6/2/2019,20,TRUE,9
Potomac 2019 05 31 POD2807 file01.CP6,6/2/2019,21,TRUE,5
Potomac 2019 05 31 POD2807 file01.CP7,6/3/2019,23,TRUE,2
Potomac 2019 05 31 POD2807 file01.CP8,6/5/2019,14,TRUE,8
Potomac 2019 05 31 POD2807 file01.CP9,6/5/2019,20,TRUE,8
Potomac 2019 05 31 POD2807 file01.CP10,6/5/2019,22,TRUE,1
Potomac 2019 05 31 POD2807 file01.CP11,6/6/2019,1,TRUE,15
Potomac 2019 05 31 POD2807 file01.CP12,6/6/2019,2,TRUE,3
Potomac 2019 05 31 POD2807 file01.CP13,6/6/2019,4,TRUE,3
Potomac 2019 05 31 POD2807 file01.CP14,6/6/2019,16,TRUE,35
Potomac 2019 05 31 POD2807 file01.CP15,6/6/2019,17,TRUE,20
Potomac 2019 05 31 POD2807 file01.CP16,6/6/2019,23,TRUE,12
Potomac 2019 05 31 POD2807 file01.CP17,6/7/2019,0,TRUE,11
Potomac 2019 05 31 POD2807 file01.CP18,6/7/2019,2,TRUE,25
Potomac 2019 05 31 POD2807 file01.CP19,6/7/2019,3,TRUE,3
Potomac 2019 05 31 POD2807 file01.CP20,6/7/2019,18,TRUE,5
Potomac 2019 05 31 POD2807 file01.CP21,6/7/2019,19,TRUE,9
Potomac 2019 05 31 POD2807 file01.CP22,6/8/2019,0,TRUE,5
Potomac 2019 05 31 POD2807 file01.CP23,6/8/2019,1,TRUE,1
Potomac 2019 05 31 POD2807 file01.CP24,6/9/2019,5,TRUE,1
Potomac 2019 05 31 POD2807 file01.CP25,6/10/2019,3,TRUE,3
Potomac 2019 05 31 POD2807 file01.CP26,6/10/2019,4,TRUE,3
Potomac 2019 05 31 POD2807 file01.CP27,6/10/2019,20,TRUE,17
Potomac 2019 05 31 POD2807 file01.CP28,6/10/2019,21,TRUE,10
Potomac 2019 05 31 POD2807 file01.CP29,6/11/2019,1,TRUE,2
Potomac 2019 05 31 POD2807 file01.CP30,6/11/2019,18,TRUE,7
Potomac 2019 05 31 POD2807 file01.CP31,6/12/2019,9,TRUE,4
Potomac 2019 05 31 POD2807 file01.CP32,6/12/2019,10,TRUE,23
Potomac 2019 05 31 POD2807 file01.CP33,6/13/2019,1,TRUE,4
Potomac 2019 05 31 POD2807 file01.CP34,6/13/2019,2,TRUE,4
Potomac 2019 05 31 POD2807 file01.CP35,6/13/2019,20,TRUE,21
Potomac 2019 05 31 POD2807 file01.CP36,6/13/2019,21,TRUE,32
Potomac 2019 05 31 POD2807 file01.CP37,6/13/2019,22,TRUE,3
Potomac 2019 05 31 POD2807 file01.CP38,6/14/2019,17,TRUE,23
Potomac 2019 05 31 POD2807 file01.CP39,6/14/2019,18,TRUE,6
Potomac 2019 05 31 POD2807 file01.CP40,6/14/2019,19,TRUE,4
Potomac 2019 05 31 POD2807 file01.CP41,6/14/2019,20,TRUE,7
Potomac 2019 05 31 POD2807 file01.CP42,6/15/2019,20,TRUE,13
Potomac 2019 05 31 POD2807 file01.CP43,6/15/2019,21,TRUE,7
Potomac 2019 05 31 POD2807 file01.CP44,6/17/2019,15,TRUE,28
Potomac 2019 05 31 POD2807 file01.CP45,6/17/2019,16,TRUE,5
Potomac 2019 05 31 POD2807 file01.CP46,6/17/2019,17,TRUE,3
Potomac 2019 05 31 POD2807 file01.CP47,6/17/2019,18,TRUE,1
Potomac 2019 05 31 POD2807 file01.CP48,6/19/2019,10,TRUE,3
Potomac 2019 05 31 POD2807 file01.CP49,6/19/2019,11,TRUE,1
Potomac 2019 05 31 POD2807 file01.CP50,6/19/2019,15,TRUE,3
Potomac 2019 05 31 POD2807 file01.CP51,6/20/2019,1,TRUE,8
Potomac 2019 05 31 POD2807 file01.CP52,6/22/2019,16,TRUE,1
Potomac 2019 05 31 POD2807 file01.CP53,6/22/2019,17,TRUE,1
Potomac 2019 05 31 POD2807 file01.CP54,6/24/2019,4,TRUE,3
Potomac 2019 05 31 POD2807 file01.CP55,6/24/2019,5,TRUE,5
Potomac 2019 05 31 POD2807 file01.CP56,6/24/2019,23,TRUE,5
Potomac 2019 05 31 POD2807 file01.CP57,6/25/2019,5,TRUE,1
Potomac 2019 05 31 POD2807 file01.CP58,6/26/2019,10,TRUE,7
Potomac 2019 05 31 POD2807 file01.CP59,6/26/2019,12,TRUE,3
Potomac 2019 05 31 POD2807 file01.CP60,6/26/2019,16,TRUE,4
Potomac 2019 05 31 POD2807 file01.CP61,6/27/2019,3,TRUE,1
Potomac 2019 05 31 POD2807 file01.CP62,6/27/2019,8,TRUE,1
Potomac 2019 05 31 POD2807 file01.CP63,6/27/2019,14,TRUE,1
Potomac 2019 05 31 POD2807 file01.CP64,6/28/2019,10,TRUE,5
Potomac 2019 05 31 POD2807 file01.CP65,6/28/2019,12,TRUE,8
Potomac 2019 05 31 POD2807 file01.CP66,6/28/2019,13,TRUE,13
Potomac 2019 05 31 POD2807 file01.CP67,6/28/2019,15,TRUE,5
Potomac 2019 05 31 POD2807 file01.CP68,6/28/2019,16,TRUE,2
Potomac 2019 05 31 POD2807 file01.CP69,6/28/2019,17,TRUE,1
Potomac 2019 05 31 POD2807 file01.CP70,6/29/2019,1,TRUE,4
Potomac 2019 05 31 POD2807 file01.CP71,6/29/2019,2,TRUE,2
Potomac 2019 05 31 POD2807 file01.CP72,6/29/2019,3,TRUE,45
Potomac 2019 05 31 POD2807 file01.CP73,6/29/2019,4,TRUE,2
Potomac 2019 05 31 POD2807 file01.CP74,6/29/2019,6,TRUE,5
Potomac 2019 05 31 POD2807 file01.CP75,6/29/2019,7,TRUE,15
Potomac 2019 05 31 POD2807 file01.CP76,6/29/2019,17,TRUE,6
Potomac 2019 05 31 POD2807 file01.CP77,6/29/2019,18,TRUE,11
Potomac 2019 05 31 POD2807 file01.CP78,6/29/2019,21,TRUE,2
Potomac 2019 05 31 POD2807 file01.CP79,6/29/2019,22,TRUE,2
Potomac 2019 05 31 POD2807 file01.CP80,7/1/2019,4,TRUE,11
Potomac 2019 05 31 POD2807 file01.CP81,7/1/2019,18,TRUE,15
Potomac 2019 05 31 POD2807 file01.CP82,7/1/2019,19,TRUE,2
Potomac 2019 05 31 POD2807 file01.CP83,7/2/2019,0,TRUE,9
Potomac 2019 05 31 POD2807 file01.CP84,7/2/2019,1,TRUE,1
Potomac 2019 05 31 POD2807 file01.CP85,7/2/2019,16,TRUE,11
Potomac 2019 05 31 POD2807 file01.CP86,7/2/2019,17,TRUE,1
Potomac 2019 05 31 POD2807 file01.CP87,7/3/2019,19,TRUE,7
Potomac 2019 05 31 POD2807 file01.CP88,7/3/2019,23,TRUE,27
Potomac 2019 05 31 POD2807 file01.CP89,7/4/2019,0,TRUE,36
Potomac 2019 05 31 POD2807 file01.CP90,7/4/2019,1,TRUE,35
Potomac 2019 05 31 POD2807 file01.CP91,7/4/2019,3,TRUE,4
Potomac 2019 05 31 POD2807 file01.CP92,7/5/2019,1,TRUE,2
Potomac 2019 05 31 POD2807 file01.CP93,7/5/2019,2,TRUE,1
Potomac 2019 05 31 POD2807 file01.CP94,7/5/2019,3,TRUE,1
Potomac 2019 05 31 POD2807 file01.CP95,7/7/2019,1,TRUE,1
Potomac 2019 05 31 POD2807 file01.CP96,7/7/2019,2,TRUE,1
Potomac 2019 05 31 POD2807 file01.CP97,7/7/2019,20,TRUE,5
Potomac 2019 05 31 POD2807 file01.CP98,7/8/2019,2,TRUE,5
Potomac 2019 05 31 POD2807 file01.CP99,7/9/2019,4,TRUE,1
Potomac 2019 05 31 POD2807 file01.CP100,7/9/2019,13,TRUE,3
Potomac 2019 05 31 POD2807 file01.CP101,7/9/2019,21,TRUE,13
Potomac 2019 05 31 POD2807 file01.CP102,7/10/2019,1,TRUE,6
Potomac 2019 05 31 POD2807 file01.CP103,7/10/2019,2,TRUE,8
Potomac 2019 05 31 POD2807 file01.CP104,7/10/2019,3,TRUE,11
Potomac 2019 05 31 POD2807 file01.CP105,7/10/2019,4,TRUE,11
Potomac 2019 05 31 POD2807 file01.CP106,7/10/2019,12,TRUE,9
Potomac 2019 05 31 POD2807 file01.CP107,7/10/2019,23,TRUE,1
Potomac 2019 05 31 POD2807 file01.CP108,7/11/2019,11,TRUE,1
Potomac 2019 05 31 POD2807 file01.CP109,7/11/2019,17,TRUE,3
Potomac 2019 05 31 POD2807 file01.CP110,7/11/2019,18,TRUE,4
Potomac 2019 05 31 POD2807 file01.CP111,7/11/2019,21,TRUE,3
Potomac 2019 05 31 POD2807 file01.CP112,7/12/2019,1,TRUE,4
Potomac 2019 05 31 POD2807 file01.CP113,7/13/2019,13,TRUE,1
Potomac 2019 05 31 POD2807 file01.CP114,7/13/2019,15,TRUE,3
Potomac 2019 05 31 POD2807 file01.CP115,7/13/2019,16,TRUE,4
Potomac 2019 05 31 POD2807 file01.CP116,7/14/2019,3,TRUE,12
Potomac 2019 05 31 POD2807 file01.CP117,7/14/2019,4,TRUE,1
Potomac 2019 05 31 POD2807 file01.CP118,7/14/2019,21,TRUE,1
Potomac 2019 05 31 POD2807 file01.CP119,7/15/2019,1,TRUE,9
Potomac 2019 05 31 POD2807 file01.CP120,7/16/2019,0,TRUE,3
Potomac 2019 05 31 POD2807 file01.CP121,7/16/2019,1,TRUE,3
Potomac 2019 05 31 POD2807 file01.CP122,7/16/2019,2,TRUE,29
Potomac 2019 05 31 POD2807 file01.CP123,7/16/2019,6,TRUE,1
Potomac 2019 05 31 POD2807 file01.CP124,7/16/2019,22,TRUE,1
Potomac 2019 05 31 POD2807 file01.CP125,7/17/2019,0,TRUE,9
Potomac 2019 05 31 POD2807 file01.CP126,7/17/2019,1,TRUE,25
Potomac 2019 05 31 POD2807 file01.CP127,7/17/2019,7,TRUE,3
Potomac 2019 05 31 POD2807 file01.CP128,7/17/2019,9,TRUE,5
Potomac 2019 05 31 POD2807 file01.CP129,7/17/2019,10,TRUE,33
Potomac 2019 05 31 POD2807 file01.CP130,7/17/2019,11,TRUE,42
Potomac 2019 05 31 POD2807 file01.CP131,7/17/2019,12,TRUE,50
Potomac 2019 05 31 POD2807 file01.CP132,7/17/2019,13,TRUE,43
Potomac 2019 05 31 POD2807 file01.CP133,7/17/2019,14,TRUE,7
Potomac 2019 05 31 POD2807 file01.CP134,7/17/2019,16,TRUE,4
Potomac 2019 05 31 POD2807 file01.CP135,7/18/2019,0,TRUE,17
Potomac 2019 05 31 POD2807 file01.CP136,7/18/2019,13,TRUE,3
Potomac 2019 05 31 POD2807 file01.CP137,7/18/2019,14,TRUE,15
Potomac 2019 05 31 POD2807 file01.CP138,7/18/2019,23,TRUE,21
Potomac 2019 05 31 POD2807 file01.CP139,7/19/2019,0,TRUE,3
Potomac 2019 05 31 POD2807 file01.CP140,7/19/2019,3,TRUE,2
Potomac 2019 05 31 POD2807 file01.CP141,7/19/2019,13,TRUE,15
Potomac 2019 05 31 POD2807 file01.CP142,7/19/2019,23,TRUE,1
Potomac 2019 05 31 POD2807 file01.CP143,7/20/2019,0,TRUE,9
Potomac 2019 05 31 POD2807 file01.CP144,7/20/2019,1,TRUE,19
Potomac 2019 05 31 POD2807 file01.CP145,7/20/2019,2,TRUE,50
Potomac 2019 05 31 POD2807 file01.CP146,7/20/2019,3,TRUE,9
Potomac 2019 05 31 POD2807 file01.CP147,7/20/2019,4,TRUE,16
Potomac 2019 05 31 POD2807 file01.CP148,7/20/2019,5,TRUE,1
Potomac 2019 05 31 POD2807 file01.CP149,7/20/2019,6,TRUE,1
Potomac 2019 05 31 POD2807 file01.CP150,7/20/2019,18,TRUE,10
Potomac 2019 05 31 POD2807 file01.CP151,7/20/2019,19,TRUE,9
Potomac 2019 05 31 POD2807 file01.CP152,7/21/2019,4,TRUE,9
Potomac 2019 05 31 POD2807 file01.CP153,7/21/2019,5,TRUE,2
Potomac 2019 05 31 POD2807 file01.CP154,7/21/2019,6,TRUE,2
Potomac 2019 05 31 POD2807 file01.CP155,7/22/2019,2,TRUE,21
Potomac 2019 05 31 POD2807 file01.CP156,7/23/2019,4,TRUE,19
Potomac 2019 05 31 POD2807 file01.CP157,7/23/2019,5,TRUE,20
Potomac 2019 05 31 POD2807 file01.CP158,7/23/2019,6,TRUE,8
Potomac 2019 05 31 POD2807 file01.CP159,7/23/2019,8,TRUE,6
Potomac 2019 05 31 POD2807 file01.CP160,7/25/2019,0,TRUE,1
Potomac 2019 05 31 POD2807 file01.CP161,7/25/2019,1,TRUE,1
Potomac 2019 05 31 POD2807 file01.CP162,7/25/2019,9,TRUE,1
Potomac 2019 05 31 POD2807 file01.CP163,7/25/2019,13,TRUE,22
Potomac 2019 05 31 POD2807 file01.CP164,7/25/2019,14,TRUE,3
Potomac 2019 05 31 POD2807 file01.CP165,7/25/2019,20,TRUE,17
Potomac 2019 05 31 POD2807 file01.CP166,7/25/2019,21,TRUE,20
Potomac 2019 05 31 POD2807 file01.CP167,7/25/2019,23,TRUE,12
Potomac 2019 05 31 POD2807 file01.CP168,7/26/2019,0,TRUE,5
Potomac 2019 05 31 POD2807 file01.CP169,7/26/2019,1,TRUE,2
Potomac 2019 05 31 POD2807 file01.CP170,7/26/2019,2,TRUE,1
Potomac 2019 05 31 POD2807 file01.CP171,7/26/2019,12,TRUE,8
Potomac 2019 05 31 POD2807 file01.CP172,7/26/2019,16,TRUE,26
Potomac 2019 05 31 POD2807 file01.CP173,7/26/2019,17,TRUE,14
Potomac 2019 05 31 POD2807 file01.CP174,7/26/2019,18,TRUE,1
Potomac 2019 05 31 POD2807 file01.CP175,7/26/2019,19,TRUE,15
Potomac 2019 05 31 POD2807 file01.CP176,7/26/2019,20,TRUE,47
Potomac 2019 05 31 POD2807 file01.CP177,7/26/2019,21,TRUE,49
Potomac 2019 05 31 POD2807 file01.CP178,7/26/2019,22,TRUE,36
Potomac 2019 05 31 POD2807 file01.CP179,7/26/2019,23,TRUE,30
Potomac 2019 05 31 POD2807 file01.CP180,7/27/2019,0,TRUE,15
Potomac 2019 05 31 POD2807 file01.CP181,7/27/2019,1,TRUE,1
Potomac 2019 05 31 POD2807 file01.CP182,7/27/2019,12,TRUE,1
Potomac 2019 05 31 POD2807 file01.CP183,7/27/2019,13,TRUE,11
Potomac 2019 05 31 POD2807 file01.CP184,7/27/2019,16,TRUE,5
Potomac 2019 05 31 POD2807 file01.CP185,7/27/2019,17,TRUE,1
Potomac 2019 05 31 POD2807 file01.CP186,7/27/2019,18,TRUE,7
Potomac 2019 05 31 POD2807 file01.CP187,7/27/2019,19,TRUE,13
Potomac 2019 05 31 POD2807 file01.CP188,7/27/2019,20,TRUE,23
Potomac 2019 05 31 POD2807 file01.CP189,7/27/2019,21,TRUE,18
Potomac 2019 05 31 POD2807 file01.CP190,7/27/2019,22,TRUE,4
Potomac 2019 05 31 POD2807 file01.CP191,7/27/2019,23,TRUE,3
Potomac 2019 05 31 POD2807 file01.CP192,7/28/2019,0,TRUE,9
Potomac 2019 05 31 POD2807 file01.CP193,7/28/2019,1,TRUE,13
Potomac 2019 05 31 POD2807 file01.CP194,7/28/2019,2,TRUE,5
Potomac 2019 05 31 POD2807 file01.CP195,7/28/2019,5,TRUE,13
Potomac 2019 05 31 POD2807 file01.CP196,7/28/2019,8,TRUE,2
Potomac 2019 05 31 POD2807 file01.CP197,7/28/2019,21,TRUE,30
Potomac 2019 05 31 POD2807 file01.CP198,7/29/2019,0,TRUE,4
Potomac 2019 05 31 POD2807 file01.CP199,7/29/2019,1,TRUE,15
Potomac 2019 05 31 POD2807 file01.CP200,7/29/2019,8,TRUE,2
Potomac 2019 05 31 POD2807 file01.CP201,7/29/2019,15,TRUE,7
Potomac 2019 05 31 POD2807 file01.CP202,7/29/2019,21,TRUE,19
Potomac 2019 05 31 POD2807 file01.CP203,7/29/2019,22,TRUE,1
Potomac 2019 05 31 POD2807 file01.CP204,7/30/2019,3,TRUE,7
Potomac 2019 05 31 POD2807 file01.CP205,7/30/2019,20,TRUE,8
Potomac 2019 05 31 POD2807 file01.CP206,7/31/2019,11,TRUE,2
Potomac 2019 05 31 POD2807 file01.CP207,7/31/2019,12,TRUE,20
Potomac 2019 05 31 POD2807 file01.CP208,7/31/2019,21,TRUE,9
Potomac 2019 05 31 POD2807 file01.CP209,8/1/2019,0,TRUE,1
Potomac 2019 05 31 POD2807 file01.CP210,8/1/2019,1,TRUE,1
Potomac 2019 05 31 POD2807 file01.CP211,8/1/2019,16,TRUE,19
Potomac 2019 05 31 POD2807 file01.CP212,8/1/2019,21,TRUE,2
Potomac 2019 05 31 POD2807 file01.CP213,8/2/2019,1,TRUE,27
Potomac 2019 05 31 POD2807 file01.CP214,8/2/2019,2,TRUE,33
Potomac 2019 05 31 POD2807 file01.CP215,8/2/2019,3,TRUE,29
Potomac 2019 05 31 POD2807 file01.CP216,8/2/2019,21,TRUE,13
Potomac 2019 05 31 POD2807 file01.CP217,8/2/2019,22,TRUE,6
Potomac 2019 05 31 POD2807 file01.CP218,8/3/2019,3,TRUE,7
Potomac 2019 05 31 POD2807 file01.CP219,8/3/2019,4,TRUE,12
Potomac 2019 05 31 POD2807 file01.CP220,8/3/2019,11,TRUE,1
Potomac 2019 05 31 POD2807 file01.CP221,8/3/2019,12,TRUE,25
Potomac 2019 05 31 POD2807 file01.CP222,8/3/2019,13,TRUE,34
Potomac 2019 05 31 POD2807 file01.CP223,8/3/2019,14,TRUE,37
Potomac 2019 05 31 POD2807 file01.CP224,8/3/2019,15,TRUE,11
Potomac 2019 05 31 POD2807 file01.CP225,8/3/2019,16,TRUE,4
Potomac 2019 05 31 POD2807 file01.CP226,8/3/2019,22,TRUE,21
Potomac 2019 05 31 POD2807 file01.CP227,8/3/2019,23,TRUE,31
Potomac 2019 05 31 POD2807 file01.CP228,8/4/2019,1,TRUE,6
Potomac 2019 05 31 POD2807 file01.CP229,8/4/2019,2,TRUE,9
Potomac 2019 05 31 POD2807 file01.CP230,8/4/2019,19,TRUE,5
Potomac 2019 05 31 POD2807 file01.CP231,8/4/2019,20,TRUE,3
Potomac 2019 05 31 POD2807 file01.CP232,8/4/2019,21,TRUE,1
Potomac 2019 05 31 POD2807 file01.CP233,8/5/2019,2,TRUE,10
Potomac 2019 05 31 POD2807 file01.CP234,8/5/2019,3,TRUE,38
Potomac 2019 05 31 POD2807 file01.CP235,8/5/2019,4,TRUE,8
Potomac 2019 05 31 POD2807 file01.CP236,8/5/2019,13,TRUE,5
Potomac 2019 05 31 POD2807 file01.CP237,8/5/2019,17,TRUE,1
Potomac 2019 05 31 POD2807 file01.CP238,8/5/2019,18,TRUE,3
Potomac 2019 05 31 POD2807 file01.CP239,8/6/2019,1,TRUE,1
Potomac 2019 05 31 POD2807 file01.CP240,8/6/2019,6,TRUE,15
Potomac 2019 05 31 POD2807 file01.CP241,8/6/2019,19,TRUE,2
Potomac 2019 05 31 POD2807 file01.CP242,8/6/2019,20,TRUE,4
Potomac 2019 05 31 POD2807 file01.CP243,8/6/2019,21,TRUE,26
Potomac 2019 05 31 POD2807 file01.CP244,8/6/2019,23,TRUE,1
Potomac 2019 05 31 POD2807 file01.CP245,8/7/2019,0,TRUE,33
Potomac 2019 05 31 POD2807 file01.CP246,8/7/2019,1,TRUE,43
Potomac 2019 05 31 POD2807 file01.CP247,8/7/2019,2,TRUE,14
Potomac 2019 05 31 POD2807 file01.CP248,8/7/2019,7,TRUE,4
Potomac 2019 05 31 POD2807 file01.CP249,8/7/2019,8,TRUE,18
Potomac 2019 05 31 POD2807 file01.CP250,8/8/2019,7,TRUE,7
Potomac 2019 05 31 POD2807 file01.CP251,8/8/2019,8,TRUE,9
Potomac 2019 05 31 POD2807 file01.CP252,8/8/2019,9,TRUE,12
Potomac 2019 05 31 POD2807 file01.CP253,8/8/2019,19,TRUE,2
Potomac 2019 05 31 POD2807 file01.CP254,8/8/2019,20,TRUE,19
Potomac 2019 05 31 POD2807 file01.CP255,8/8/2019,21,TRUE,4
Potomac 2019 05 31 POD2807 file01.CP256,8/9/2019,1,TRUE,1
Potomac 2019 05 31 POD2807 file01.CP257,8/9/2019,21,TRUE,1
Potomac 2019 05 31 POD2807 file01.CP258,8/9/2019,22,TRUE,4
Potomac 2019 05 31 POD2807 file01.CP259,8/10/2019,3,TRUE,3
Potomac 2019 05 31 POD2807 file01.CP260,8/10/2019,4,TRUE,10
Potomac 2019 05 31 POD2807 file01.CP261,8/10/2019,6,TRUE,3
Potomac 2019 05 31 POD2807 file01.CP262,8/10/2019,14,TRUE,10
Potomac 2019 05 31 POD2807 file01.CP263,8/10/2019,20,TRUE,11
Potomac 2019 05 31 POD2807 file01.CP264,8/10/2019,21,TRUE,1
Potomac 2019 05 31 POD2807 file01.CP265,8/11/2019,1,TRUE,3
Potomac 2019 05 31 POD2807 file01.CP266,8/12/2019,3,TRUE,3
Potomac 2019 05 31 POD2807 file01.CP267,8/12/2019,6,TRUE,2
Potomac 2019 05 31 POD2807 file01.CP268,8/12/2019,23,TRUE,8
